author_handle,month,day,score,count,retweet_mean,retweet_sum,reply_mean,reply_sum,like_mean,like_sum,quote_mean,quote_sum
ABC,1,18,0,103,140.1359223300971,14434,35.74757281553398,3682,271.90291262135923,28006,25.155339805825243,2591
ABC,1,18,1,16,234.875,3758,37.625,602,621.3125,9941,22.875,366
ABC,1,19,0,96,213.15625,20463,47.78125,4587,390.8958333333333,37526,36.364583333333336,3491
ABC,1,19,1,13,1384.3076923076924,17996,84.38461538461539,1097,2756.846153846154,35839,133.15384615384616,1731
ABC,1,20,0,147,450.4353741496599,66214,59.21768707482993,8705,952.530612244898,140022,91.14965986394557,13399
ABC,1,20,1,18,381.5,6867,63.888888888888886,1150,990.1666666666666,17823,39.5,711
ABC,1,21,0,95,480.2842105263158,45627,93.34736842105264,8868,1048.3894736842105,99597,85.02105263157895,8077
ABC,1,21,1,10,414.5,4145,151.2,1512,1160.6,11606,61.6,616
ABC,1,22,0,83,169.90361445783134,14102,108.72289156626506,9024,381.4578313253012,31661,51.626506024096386,4285
ABC,1,22,1,2,79.5,159,26.5,53,252.0,504,14.0,28
ABC,1,23,0,97,143.60824742268042,13930,57.56701030927835,5584,348.70103092783506,33824,30.536082474226806,2962
ABC,1,23,1,6,176.33333333333334,1058,112.0,672,397.5,2385,155.5,933
ABC,1,24,0,98,109.4795918367347,10729,32.214285714285715,3157,181.18367346938774,17756,22.428571428571427,2198
ABC,1,24,1,4,1272.5,5090,148.25,593,2907.5,11630,92.5,370
ABC,1,25,0,98,172.0408163265306,16860,67.84693877551021,6649,293.8469387755102,28797,68.59183673469387,6722
ABC,1,25,1,5,201.0,1005,41.2,206,486.2,2431,20.8,104
ABC,1,26,0,108,222.7037037037037,24052,108.83333333333333,11754,424.037037037037,45796,91.8425925925926,9919
ABC,1,26,1,8,138.625,1109,63.625,509,240.875,1927,28.5,228
ABC,1,27,0,91,143.26373626373626,13037,43.57142857142857,3965,268.5164835164835,24435,29.164835164835164,2654
ABC,1,27,1,9,126.0,1134,67.22222222222223,605,247.55555555555554,2228,69.44444444444444,625
ABC,1,28,0,90,276.65555555555557,24899,59.922222222222224,5393,459.3222222222222,41339,30.88888888888889,2780
ABC,1,28,1,6,959.6666666666666,5758,138.0,828,1795.1666666666667,10771,92.16666666666667,553
ABC,1,29,0,75,481.7866666666667,36134,98.36,7377,877.7333333333333,65830,49.6,3720
ABC,1,29,1,4,1729.5,6918,258.5,1034,2960.0,11840,274.25,1097
ABC,1,30,0,95,359.5578947368421,34158,84.26315789473684,8005,717.0421052631579,68119,54.66315789473684,5193
ABC,1,30,1,7,136.0,952,139.0,973,320.0,2240,65.57142857142857,459
ABC,1,31,0,89,207.59550561797752,18476,70.85393258426966,6306,398.76404494382024,35490,37.06741573033708,3299
ABC,1,31,1,5,59.4,297,29.2,146,86.2,431,11.6,58
ABC,2,1,0,95,166.78947368421052,15845,46.50526315789474,4418,312.6,29697,25.842105263157894,2455
ABC,2,1,1,6,11744.833333333334,70469,254.33333333333334,1526,20158.0,120948,1900.0,11400
ABC,2,2,0,83,250.56626506024097,20797,87.26506024096386,7243,432.855421686747,35927,81.40963855421687,6757
ABC,2,2,1,12,928.1666666666666,11138,75.25,903,2243.5833333333335,26923,154.16666666666666,1850
ABC,2,3,0,85,150.4,12784,55.37647058823529,4707,315.1764705882353,26790,32.23529411764706,2740
ABC,2,3,1,5,154.6,773,19.8,99,425.8,2129,18.6,93
ABC,2,4,0,78,304.20512820512823,23728,69.43589743589743,5416,677.6538461538462,52857,42.05128205128205,3280
ABC,2,4,1,6,280.8333333333333,1685,49.333333333333336,296,690.6666666666666,4144,52.0,312
ABC,2,5,0,71,233.35211267605635,16568,77.29577464788733,5488,583.2957746478874,41414,41.394366197183096,2939
ABC,2,5,1,5,137.4,687,51.2,256,290.8,1454,26.8,134
ABC,2,6,0,81,415.7037037037037,33672,48.41975308641975,3922,857.2469135802469,69437,51.2962962962963,4155
ABC,2,6,1,13,164.0,2132,38.23076923076923,497,496.2307692307692,6451,24.692307692307693,321
ABC,2,7,0,84,224.83333333333334,18886,46.05952380952381,3869,393.01190476190476,33013,37.5,3150
ABC,2,7,1,5,110.4,552,51.0,255,384.6,1923,14.8,74
ABC,2,8,0,91,190.43956043956044,17330,97.45054945054945,8868,321.3626373626374,29244,94.8021978021978,8627
ABC,2,8,1,6,279.5,1677,136.5,819,799.0,4794,46.5,279
ABC,2,9,0,85,199.01176470588234,16916,71.98823529411764,6119,414.7176470588235,35251,43.705882352941174,3715
ABC,2,9,1,9,304.55555555555554,2741,107.66666666666667,969,809.0,7281,40.0,360
ABC,2,10,0,86,243.13953488372093,20910,70.0,6020,612.2093023255813,52650,40.77906976744186,3507
ABC,2,10,1,4,103.25,413,39.75,159,298.5,1194,19.75,79
ABC,2,11,0,88,148.4090909090909,13060,42.75,3762,355.17045454545456,31255,22.818181818181817,2008
ABC,2,11,1,2,102.5,205,21.5,43,442.0,884,12.0,24
ABC,2,12,0,74,212.3783783783784,15716,101.51351351351352,7512,479.6081081081081,35491,52.972972972972975,3920
ABC,2,12,1,1,99.0,99,26.0,26,620.0,620,12.0,12
ABC,2,13,0,81,271.69135802469134,22007,67.77777777777777,5490,408.9012345679012,33121,69.85185185185185,5658
ABC,2,13,1,10,113.7,1137,75.6,756,388.3,3883,21.2,212
ABC,2,14,0,90,141.9777777777778,12778,46.71111111111111,4204,308.1222222222222,27731,26.244444444444444,2362
ABC,2,14,1,9,67.22222222222223,605,43.888888888888886,395,146.0,1314,18.11111111111111,163
ABC,2,15,0,92,191.3695652173913,17606,68.21739130434783,6276,363.6304347826087,33454,48.46739130434783,4459
ABC,2,15,1,10,270.5,2705,61.6,616,790.1,7901,48.4,484
ABC,2,16,0,93,167.40860215053763,15569,72.82795698924731,6773,329.258064516129,30621,37.26881720430107,3466
ABC,2,16,1,17,240.58823529411765,4090,152.52941176470588,2593,647.7647058823529,11012,114.41176470588235,1945
