author_handle,month,score,count,retweet_mean,retweet_sum,reply_mean,reply_sum,like_mean,like_sum,quote_mean,quote_sum
ABC,10,0,2337,199.27257167308514,465700,70.69790329482242,165221,418.73127941805734,978575,45.09627727856226,105390
ABC,10,1,174,322.367816091954,56092,88.6264367816092,15421,800.3908045977012,139268,98.39655172413794,17121
ABC,11,0,2277,188.3719806763285,428923,62.88801054018445,143196,415.5682916117699,946249,57.735617039964865,131464
ABC,11,1,271,203.1549815498155,55055,63.4760147601476,17202,645.5977859778598,174957,60.94833948339483,16517
ABC,12,0,2194,196.6390154968095,431426,64.5123062898815,141540,505.6636280765725,1109426,43.17912488605287,94735
ABC,12,1,367,245.64032697547685,90150,67.63215258855585,24821,835.5367847411444,306642,37.90735694822888,13912
BBCWorld,4,0,1165,136.0961373390558,158552,31.767381974248927,37009,193.81459227467812,225794,23.48755364806867,27363
BBCWorld,4,1,137,119.21167883211679,16332,25.62043795620438,3510,203.78832116788323,27919,22.0,3014
BBCWorld,5,0,1316,155.82826747720364,205070,36.82446808510638,48461,243.74240121580547,320765,30.628419452887538,40307
BBCWorld,5,1,134,170.27611940298507,22817,34.28358208955224,4594,281.1194029850746,37670,32.156716417910445,4309
BBCWorld,6,0,1205,135.48547717842322,163260,38.67966804979253,46609,213.9020746887967,257752,28.43485477178423,34264
BBCWorld,6,1,134,163.3955223880597,21895,36.149253731343286,4844,268.42537313432837,35969,31.32089552238806,4197
BBCWorld,7,0,1385,160.57617328519856,222398,41.898916967509024,58030,264.5812274368231,366445,47.62093862815885,65955
BBCWorld,7,1,134,208.3507462686567,27919,48.97014925373134,6562,388.47014925373134,52055,34.66417910447761,4645
BBCWorld,8,0,1319,166.33131159969673,219391,37.93479909021986,50036,297.69446550416984,392659,27.623957543593633,36436
BBCWorld,8,1,149,178.7718120805369,26637,42.369127516778526,6313,328.51006711409394,48948,28.651006711409394,4269
BBCWorld,9,0,1248,164.40064102564102,205172,42.68910256410256,53276,248.03926282051282,309553,27.32451923076923,34101
BBCWorld,9,1,141,254.36170212765958,35865,40.666666666666664,5734,370.39716312056737,52226,33.56737588652482,4733
BBCWorld,10,0,1246,167.4341894060995,208623,44.85072231139647,55884,251.36677367576243,313203,29.045746388443018,36191
BBCWorld,10,1,153,170.22222222222223,26044,38.3202614379085,5863,280.41830065359477,42904,27.88888888888889,4267
BBCWorld,11,0,1306,138.67228177641653,181106,39.68147013782542,51824,219.28790199081163,286390,27.38820826952527,35769
BBCWorld,11,1,143,141.55944055944056,20243,32.20979020979021,4606,230.4125874125874,32949,23.097902097902097,3303
BBCWorld,12,0,1197,132.63742690058479,158767,36.7593984962406,44001,217.00835421888053,259759,21.10192147034252,25259
BBCWorld,12,1,139,207.70503597122303,28871,46.9136690647482,6521,356.8201438848921,49598,25.071942446043167,3485
BreitbartNews,6,0,271,84.08856088560886,22788,61.22878228782288,16593,207.19926199261994,56151,12.937269372693727,3506
BreitbartNews,6,1,311,98.40514469453376,30604,77.21543408360128,24014,220.33762057877814,68525,15.016077170418006,4670
BreitbartNews,7,0,515,127.28155339805825,65550,85.23106796116505,43894,295.3747572815534,152118,17.658252427184465,9094
BreitbartNews,7,1,617,142.53646677471636,87945,102.84116693679093,63453,315.4667747163695,194643,20.236628849270666,12486
BreitbartNews,8,0,514,201.18482490272373,103409,140.84824902723736,72396,418.0817120622568,214894,28.980544747081712,14896
BreitbartNews,8,1,670,193.65671641791045,129750,144.0910447761194,96541,399.29402985074626,267527,27.16417910447761,18200
BreitbartNews,9,0,492,202.7357723577236,99746,154.96138211382114,76241,428.2439024390244,210696,26.84552845528455,13208
BreitbartNews,9,1,579,260.22279792746116,150669,193.43523316062175,111999,560.6459412780656,324614,33.15544041450777,19197
BreitbartNews,10,0,478,229.22803347280336,109571,164.32635983263597,78548,475.47071129707115,227275,26.794979079497907,12808
BreitbartNews,10,1,585,301.28205128205127,176250,190.5059829059829,111446,657.4273504273505,384595,33.27521367521368,19466
BreitbartNews,11,0,413,212.03874092009684,87572,150.76513317191282,62266,465.0411622276029,192062,24.634382566585955,10174
BreitbartNews,11,1,508,219.4704724409449,111491,141.04921259842519,71653,477.4271653543307,242533,23.968503937007874,12176
BreitbartNews,12,0,444,170.99099099099098,75920,152.38513513513513,67659,434.2049549549549,192787,22.765765765765767,10108
