B,B,r,B,N,o,u,S,B,P,h,h,h
2444,1264,3751,3770,9086,5276,2174,1334,1580,1769,10992,7248,10786
28639,11387,3127,30493,38710,31290,7851,8935,7851,6043,25954,36024,34563
